OUT,Mg,Al,Fe,Co,Ni,Cu,Zn,Ga,Ag,In,Sn,Bi
12,0,10,0,0,0,0,0,0,0,53.1,18.9,18
15.34,0,0,0,0,0,0,3.6,0,0,35.4,49,12
17.71,0,0,0,0,0,0,7,0,0,5,88,0
18.63,0,0,0,0,0,0,7,0,0,10,83,0
23.25,0,0,0,0,0,0,7,0,0,0,93,0
24.87,0,4.76,0,0,0,0,6.67,0,0,0,88.57,0
37.19,4.76,0,0,0,0,0,6.67,0,0,0,88.57,0
4.058,0,0,0,0,0,0,1,0,0,56,31,12
4.659,0,0,0,0,0,0,0,0,0,51,16.5,32.5
4.934,0.5,0,0,0,0,0,0,0,0,50.7,16.5,32.3
5.289,0,1,0,0,0,0,0,0,0,50.5,16.3,32.2
