OUT,Mg,Al,Fe,Co,Ni,Cu,Zn,Ga,Ag,In,Sn,Bi
25.22,0,0,0,0,0,0,1,61,0,25,13,0
25.63,0,0,0,0,0,0,0,62.5,0,21.5,16,0
26.04,0,0,0,0,0,0,0,68.5,0,21.5,10,0
26.08,0,0,0,0,0,0,0,62,0,25,13,0
26.48,0,0,0,0,0,0,4,67,0,29,0,0
26.73,0,0,0,0,0,0,0,75.5,0,24.5,0,0
27.38,0,0,0,0,0,0,2.9,86.3,0,0,10.8,0
27.4,0,0,0,0,0,0,16,72,0,12,0,0
27.97,0,0,0,0,0,0,0,86.5,0,0,13.5,0
28.49,0,0,0,0,0,0,3.6,96.4,0,0,0,0

