OUT,Mn,Mo,C,Al,N,Cr,P,Cu,S,Si,Ni
75,0.46,0.52,0.1,0.01,0.0114,1.15,0.021,0.06,0.006,0.7,0.044
76,0.44,0.52,0.1,0.008,0.0104,1.21,0.016,0.06,0.006,0.68,0.039
79,0.5,0.52,0.15,0.01,0.008,1.16,0.021,0.06,0.006,0.63,0.07
83,0.49,0.97,0.13,0.009,0.01,2.29,0.019,0.04,0.018,0.27,0.025
83,0.52,0.97,0.12,0.006,0.01,2.24,0.02,0.04,0.018,0.39,0.025
82,0.5,0.96,0.12,0.004,0.0099,2.25,0.018,0.05,0.018,0.29,0.027
80,0.43,0.97,0.11,0.008,0.009,2.28,0.013,0.07,0.012,0.29,0.036
80,0.48,0.99,0.1,0.006,0.008,2.28,0.014,0.08,0.012,0.31,0.062
78,0.43,0.94,0.1,0.005,0.008,2.46,0.011,0.07,0.009,0.23,0.043
80,0.47,0.95,0.11,0.011,0.0106,2.2,0.016,0.05,0.009,0.37,0.071
77,0.45,0.95,0.1,0.011,0.0104,2.21,0.014,0.05,0.008,0.35,0.036
78,0.45,0.97,0.09,0.01,0.011,2.17,0.018,0.06,0.008,0.4,0.047
83,0.5,1.04,0.12,0.004,0.008,2.25,0.01,0.04,0.008,0.35,0.096
82,0.5,1,0.12,0.004,0.008,2.17,0.01,0.06,0.005,0.33,0.07
83,0.49,1.04,0.12,0.004,0.008,2.24,0.01,0.04,0.006,0.35,0.098
83,0.49,0.97,0.13,0.009,0.01,2.29,0.019,0.04,0.018,0.27,0.025
83,0.52,0.97,0.12,0.006,0.01,2.24,0.02,0.04,0.018,0.39,0.025
82,0.5,0.96,0.12,0.004,0.0099,2.25,0.018,0.05,0.018,0.29,0.027
80,0.43,0.97,0.11,0.008,0.009,2.28,0.013,0.07,0.012,0.29,0.036
80,0.48,0.99,0.1,0.006,0.008,2.28,0.014,0.08,0.012,0.31,0.062
78,0.43,0.94,0.1,0.005,0.008,2.46,0.011,0.07,0.009,0.23,0.043
80,0.47,0.95,0.11,0.011,0.0106,2.2,0.016,0.05,0.009,0.37,0.071
77,0.45,0.95,0.1,0.011,0.0104,2.21,0.014,0.05,0.008,0.35,0.036
78,0.45,0.97,0.09,0.01,0.011,2.17,0.018,0.06,0.008,0.4,0.047
83,0.5,1.04,0.12,0.004,0.008,2.25,0.01,0.04,0.008,0.35,0.096
82,0.5,1,0.12,0.004,0.008,2.17,0.01,0.06,0.005,0.33,0.07
83,0.49,1.04,0.12,0.004,0.008,2.24,0.01,0.04,0.006,0.35,0.098
78,0.54,0.52,0.09,0.005,0.0104,4.91,0.007,0.13,0.01,0.31,0.08
79,0.54,0.52,0.1,0.005,0.011,4.87,0.009,0.09,0.01,0.29,0.068
